,tail_entity,Wikidata labels,W5M count_all_triplets,file: tail_value_counts_all_11.11.2021.csv
Q6581097,5760439,male,0,
Q6581072,1836094,female,0,
Q44148,8936,male organism,2709,
Q43445,4531,female organism,1155,
Q1052281,1132,transgender female,224,
Q48270,518,non-binary,42,
Q2449503,294,transgender male,55,
Q179294,251,eunuch,0,
Q1097630,131,intersex,66,
Q18116794,43,genderfluid,0,
Q12964198,41,genderqueer,0,
Q189125,29,transgender person,1,
Q505371,29,,0,
Q15145779,22,,0,
Q301702,17,,0,
Q17148251,14,,0,
Q52261234,13,,0,
Q15145778,12,,0,
Q207959,10,,0,
Q27679766,8,,1,
Q27679684,7,,0,
Q16674976,7,,0,
Q3277905,6,māhū,1,
Q859614,6,,0,
Q1399232,4,,1,
Q93954933,2,,0,
Q7130936,2,,0,
Q48279,2,,0,
Q51415,2,,0,
Q1289754,2,,0,
Q746411,2,,1,
Q59157079,1,,0,
Q4700377,1,,0,
Q37787614,1,,0,
Q185836,1,,0,
Q11920938,1,,0,
Q7170675,1,,0,
Q7170593,1,,0,
Q3968640,1,,0,
Q3738275,1,,0,
Q2867027,1,,0,
Q2389905,1,,0,
Q2254571,1,,0,
Q641118,1,,0,
Q202444,1,,0,
Q12979140,1,,0,
Q101352,1,,0,
Q61002,1,,0,
Q48277,1,,0,
Q64017034,1,,0,
Q303479,1,,2,
Q658107,1,,0,
Q948437,1,,0,
Q28831311,1,,0,
Q33999,1,,0,
Q56315990,1,,0,
Q215627,1,,0,
Q660882,1,,0,
Q14073567,1,,0,
Q21147230,1,,0,
Q3177577,1,,0,
