P_ID	wikidata_label	sensitive_attribute
P21	sex or gender	gender
P6553	personal pronoun	gender
P172	ethnic group	ethnicity
P3833	diaspora	ethnicity
P27	country of citizenship	nationality
P19	place of birth	nationality
P103	native language	nationality
P5389	permanent resident of	nationality
P91	sexual orientation	sexual orientation
P1050	medical condition	disability
P140	religion	religion
P8929	religion or world view	religion
P569	date of birth	age
P570	date of death	age
P3716	social classification	socioeconomic status
P97	noble title	socioeconomic status
P1340	eye color	physical appearance
P8852	facial hair	physical appearance
P8839	hair style	physical appearance
