,type,step,key,value
100,metric,80,arithmetic_mean_rank.both.realistic,61812.92
109,metric,80,geometric_mean_rank.both.realistic,1244.63
118,metric,80,median_rank.both.realistic,1721.0
127,metric,80,harmonic_mean_rank.both.realistic,17.6
136,metric,80,inverse_arithmetic_mean_rank.both.realistic,0.0
145,metric,80,inverse_geometric_mean_rank.both.realistic,0.0
154,metric,80,inverse_harmonic_mean_rank.both.realistic,0.06
163,metric,80,inverse_median_rank.both.realistic,0.0
172,metric,80,rank_std.both.realistic,198804.3
181,metric,80,rank_var.both.realistic,39523149026.4
190,metric,80,rank_mad.both.realistic,1717.0
217,metric,80,hits_at_k.both.realistic.1,0.02
218,metric,80,hits_at_k.both.realistic.3,0.06
219,metric,80,hits_at_k.both.realistic.5,0.08
220,metric,80,hits_at_k.both.realistic.10,0.13
231,metric,80,adjusted_arithmetic_mean_rank.both.realistic,0.08
234,metric,80,adjusted_arithmetic_mean_rank_index.both.realistic,0.92
